method_a,method_b,winner,n_paired,a_correct,b_correct,a_accuracy,b_accuracy,delta_accuracy_pp_a_minus_b,a_only_correct,b_only_correct,mcnemar_exact_p,mcnemar_exact_p_holm,mcnemar_chi_square_cc
Baseline,E1,E1,500,296,386,0.592,0.772,-18.000000000000004,27,117,1.4874493889233367e-14,3.4211335945236745e-13,55.00694444444444
Baseline,E3,Baseline,500,296,293,0.592,0.586,0.6000000000000005,50,47,0.8392136618440833,1.0,0.041237113402061855
Baseline,E12,E12,500,296,298,0.592,0.596,-0.40000000000000036,23,25,0.8854334972865132,1.0,0.020833333333333332
Baseline,E12b,E12b,500,296,312,0.592,0.624,-3.200000000000003,33,49,0.09703091129729906,1.0,2.7439024390243905
Baseline,Self Correct,Baseline,500,296,246,0.592,0.492,9.999999999999998,92,42,1.8706159525938798e-05,0.00033671087146689837,17.917910447761194
Baseline,Cove Lite,Baseline,500,296,286,0.592,0.572,2.0000000000000018,22,12,0.12144948495551944,1.0,2.3823529411764706
Baseline,Resample Lite,Resample Lite,500,296,303,0.592,0.606,-1.4000000000000012,33,40,0.4827885568440213,1.0,0.4931506849315068
E1,Baseline,E1,500,386,296,0.772,0.592,18.000000000000004,117,27,1.4874493889233367e-14,3.4211335945236745e-13,55.00694444444444
E1,E3,E1,500,386,293,0.772,0.586,18.600000000000005,102,9,4.2608701445754604e-21,1.1504349390353743e-19,76.25225225225225
E1,E12,E1,500,386,298,0.772,0.596,17.600000000000005,106,18,2.314380693056468e-16,5.785951732641171e-15,61.04032258064516
E1,E12b,E1,500,386,312,0.772,0.624,14.800000000000002,87,13,1.3129815522035853e-14,3.1511557252886047e-13,53.29
E1,Self Correct,E1,500,386,246,0.772,0.492,28.000000000000004,169,29,3.145817080463773e-25,8.808287825298565e-24,97.58080808080808
E1,Cove Lite,E1,500,386,286,0.772,0.572,20.000000000000007,128,28,1.7713729486376446e-16,4.605569666457876e-15,62.82692307692308
E1,Resample Lite,E1,500,386,303,0.772,0.606,16.600000000000005,117,34,7.202458887347566e-12,1.5845409552164646e-10,44.52980132450331
E3,Baseline,Baseline,500,293,296,0.586,0.592,-0.6000000000000005,47,50,0.8392136618440833,1.0,0.041237113402061855
E3,E1,E1,500,293,386,0.586,0.772,-18.600000000000005,9,102,4.2608701445754604e-21,1.1504349390353743e-19,76.25225225225225
E3,E12,E12,500,293,298,0.586,0.596,-1.0000000000000009,29,34,0.6146550157654618,1.0,0.25396825396825395
E3,E12b,E12b,500,293,312,0.586,0.624,-3.8000000000000034,20,39,0.018337087779101986,0.2567192289074278,5.491525423728813
E3,Self Correct,E3,500,293,246,0.586,0.492,9.399999999999997,96,49,0.00011759999636577908,0.0019991999382182445,14.593103448275862
E3,Cove Lite,E3,500,293,286,0.586,0.572,1.4000000000000012,53,46,0.546713483598813,1.0,0.36363636363636365
E3,Resample Lite,Resample Lite,500,293,303,0.586,0.606,-2.0000000000000018,49,59,0.38657260898826085,1.0,0.75
E12,Baseline,E12,500,298,296,0.596,0.592,0.40000000000000036,25,23,0.8854334972865132,1.0,0.020833333333333332
E12,E1,E1,500,298,386,0.596,0.772,-17.600000000000005,18,106,2.314380693056468e-16,5.785951732641171e-15,61.04032258064516
E12,E3,E12,500,298,293,0.596,0.586,1.0000000000000009,34,29,0.6146550157654618,1.0,0.25396825396825395
E12,E12b,E12b,500,298,312,0.596,0.624,-2.8000000000000025,11,25,0.028816719655878842,0.37461735552642494,4.694444444444445
E12,Self Correct,E12,500,298,246,0.596,0.492,10.399999999999999,98,46,1.7548498975411196e-05,0.00033342148053281274,18.0625
E12,Cove Lite,E12,500,298,286,0.596,0.572,2.400000000000002,41,29,0.18821620302302766,1.0,1.7285714285714286
E12,Resample Lite,Resample Lite,500,298,303,0.596,0.606,-1.0000000000000009,44,49,0.6785320136533252,1.0,0.17204301075268819
E12b,Baseline,E12b,500,312,296,0.624,0.592,3.200000000000003,49,33,0.09703091129729906,1.0,2.7439024390243905
E12b,E1,E1,500,312,386,0.624,0.772,-14.800000000000002,13,87,1.3129815522035853e-14,3.1511557252886047e-13,53.29
E12b,E3,E12b,500,312,293,0.624,0.586,3.8000000000000034,39,20,0.018337087779101986,0.2567192289074278,5.491525423728813
E12b,E12,E12b,500,312,298,0.624,0.596,2.8000000000000025,25,11,0.028816719655878842,0.37461735552642494,4.694444444444445
E12b,Self Correct,E12b,500,312,246,0.624,0.492,13.200000000000001,112,46,1.5540940828265655e-07,3.2635975739357876e-06,26.740506329113924
E12b,Cove Lite,E12b,500,312,286,0.624,0.572,5.200000000000005,60,34,0.00954781046607742,0.1432171569911613,6.648936170212766
E12b,Resample Lite,E12b,500,312,303,0.624,0.606,1.8000000000000016,59,50,0.4436695012023485,1.0,0.5871559633027523
Self Correct,Baseline,Baseline,500,246,296,0.492,0.592,-9.999999999999998,42,92,1.8706159525938798e-05,0.00033671087146689837,17.917910447761194
Self Correct,E1,E1,500,246,386,0.492,0.772,-28.000000000000004,29,169,3.145817080463773e-25,8.808287825298565e-24,97.58080808080808
Self Correct,E3,E3,500,246,293,0.492,0.586,-9.399999999999997,49,96,0.00011759999636577908,0.0019991999382182445,14.593103448275862
Self Correct,E12,E12,500,246,298,0.492,0.596,-10.399999999999999,46,98,1.7548498975411196e-05,0.00033342148053281274,18.0625
Self Correct,E12b,E12b,500,246,312,0.492,0.624,-13.200000000000001,46,112,1.5540940828265655e-07,3.2635975739357876e-06,26.740506329113924
Self Correct,Cove Lite,Cove Lite,500,246,286,0.492,0.572,-7.9999999999999964,35,75,0.00017238430132681813,0.00275814882122909,13.827272727272728
Self Correct,Resample Lite,Resample Lite,500,246,303,0.492,0.606,-11.399999999999999,34,91,3.473800882847061e-07,6.947601765694122e-06,25.088
Cove Lite,Baseline,Baseline,500,286,296,0.572,0.592,-2.0000000000000018,12,22,0.12144948495551944,1.0,2.3823529411764706
Cove Lite,E1,E1,500,286,386,0.572,0.772,-20.000000000000007,28,128,1.7713729486376446e-16,4.605569666457876e-15,62.82692307692308
Cove Lite,E3,E3,500,286,293,0.572,0.586,-1.4000000000000012,46,53,0.546713483598813,1.0,0.36363636363636365
Cove Lite,E12,E12,500,286,298,0.572,0.596,-2.400000000000002,29,41,0.18821620302302766,1.0,1.7285714285714286
Cove Lite,E12b,E12b,500,286,312,0.572,0.624,-5.200000000000005,34,60,0.00954781046607742,0.1432171569911613,6.648936170212766
Cove Lite,Self Correct,Cove Lite,500,286,246,0.572,0.492,7.9999999999999964,75,35,0.00017238430132681813,0.00275814882122909,13.827272727272728
Cove Lite,Resample Lite,Resample Lite,500,286,303,0.572,0.606,-3.400000000000003,31,48,0.07116340869529117,0.853960904343494,3.240506329113924
Resample Lite,Baseline,Resample Lite,500,303,296,0.606,0.592,1.4000000000000012,40,33,0.4827885568440213,1.0,0.4931506849315068
Resample Lite,E1,E1,500,303,386,0.606,0.772,-16.600000000000005,34,117,7.202458887347566e-12,1.5845409552164646e-10,44.52980132450331
Resample Lite,E3,Resample Lite,500,303,293,0.606,0.586,2.0000000000000018,59,49,0.38657260898826085,1.0,0.75
Resample Lite,E12,Resample Lite,500,303,298,0.606,0.596,1.0000000000000009,49,44,0.6785320136533252,1.0,0.17204301075268819
Resample Lite,E12b,E12b,500,303,312,0.606,0.624,-1.8000000000000016,50,59,0.4436695012023485,1.0,0.5871559633027523
Resample Lite,Self Correct,Resample Lite,500,303,246,0.606,0.492,11.399999999999999,91,34,3.473800882847061e-07,6.947601765694122e-06,25.088
Resample Lite,Cove Lite,Resample Lite,500,303,286,0.606,0.572,3.400000000000003,48,31,0.07116340869529117,0.853960904343494,3.240506329113924
