method,question_type,n,baseline_accuracy,corrected_accuracy,delta_accuracy_pp,flip_to_correct,flip_to_wrong,flip_to_correct_rate,flip_to_wrong_rate,net_gain,mcnemar_exact_p,intervened_rate,fallback_rate
E1,cat,62,0.45161290322580644,0.7096774193548387,25.80645161290323,19,3,0.3064516129032258,0.04838709677419355,16,0.0008554458618164062,1.0,0.0
E1,rel,503,0.5666003976143141,0.7992047713717694,23.260437375745525,136,19,0.27037773359840955,0.03777335984095427,117,5.462119416967247e-23,1.0,0.0
E1,attr,301,0.7408637873754153,0.8438538205980066,10.299003322259138,51,20,0.16943521594684385,0.0664451827242525,31,0.00030316341355849296,1.0,0.0
E1,global,37,0.5675675675675675,0.6486486486486487,8.108108108108114,4,1,0.10810810810810811,0.02702702702702703,3,0.375,1.0,0.0
E1,obj,121,0.8347107438016529,0.8347107438016529,0.0,10,10,0.08264462809917356,0.08264462809917356,0,1.0,1.0,0.0
E12b,global,37,0.5405405405405406,0.6216216216216216,8.108108108108103,4,1,0.10810810810810811,0.02702702702702703,3,0.375,0.9459459459459459,0.0
E12b,rel,503,0.558648111332008,0.6182902584493042,5.964214711729621,52,22,0.10337972166998012,0.0437375745526839,30,0.0006428073490507031,0.5745526838966203,0.0019880715705765406
E12b,attr,301,0.6976744186046512,0.7475083056478405,4.983388704318936,27,12,0.08970099667774087,0.03986710963455149,15,0.023702702470473014,0.6345514950166113,0.0
E12b,cat,62,0.45161290322580644,0.5,4.838709677419356,4,1,0.06451612903225806,0.016129032258064516,3,0.375,0.6129032258064516,0.0
E12b,obj,121,0.8429752066115702,0.8264462809917356,-1.6528925619834656,5,7,0.04132231404958678,0.05785123966942149,-2,0.7744140625,0.6528925619834711,0.008264462809917356
