method,question_type,n,baseline_accuracy,corrected_accuracy,delta_accuracy_pp,flip_to_correct,flip_to_wrong,flip_to_correct_rate,flip_to_wrong_rate,net_gain,mcnemar_exact_p,intervened_rate,fallback_rate
E1,query,546,0.5091575091575091,0.7527472527472527,24.35897435897436,155,22,0.2838827838827839,0.040293040293040296,133,7.898630386582173e-26,1.0,0.0
E1,verify,222,0.8108108108108109,0.9234234234234234,11.261261261261257,33,8,0.14864864864864866,0.036036036036036036,25,0.00011222142620681552,1.0,0.0
E1,compare,30,0.7,0.8,10.000000000000009,8,5,0.26666666666666666,0.16666666666666666,3,0.5810546875,1.0,0.0
E1,choose,110,0.7727272727272727,0.8636363636363636,9.090909090909093,16,6,0.14545454545454545,0.05454545454545454,10,0.052478790283203125,1.0,0.0
E1,logical,116,0.8103448275862069,0.7758620689655172,-3.4482758620689613,8,12,0.06896551724137931,0.10344827586206896,-4,0.5034446716308594,1.0,0.0
E12b,query,546,0.48717948717948717,0.5604395604395604,7.3260073260073275,60,20,0.10989010989010989,0.03663003663003663,40,8.580559867049611e-06,0.6007326007326007,0.0018315018315018315
E12b,compare,30,0.6666666666666666,0.7333333333333333,6.666666666666665,3,1,0.1,0.03333333333333333,2,0.625,0.5,0.0
E12b,verify,222,0.7927927927927928,0.8333333333333334,4.054054054054057,19,10,0.08558558558558559,0.04504504504504504,9,0.13604594767093658,0.6396396396396397,0.0045045045045045045
E12b,choose,110,0.7636363636363637,0.7636363636363637,0.0,6,6,0.05454545454545454,0.05454545454545454,0,1.0,0.6545454545454545,0.0
E12b,logical,116,0.8189655172413793,0.8017241379310345,-1.7241379310344862,4,6,0.034482758620689655,0.05172413793103448,-2,0.75390625,0.646551724137931,0.0
