stratum,n,baseline_accuracy,corrected_accuracy,delta_accuracy_pp,flip_to_correct,flip_to_wrong,flip_to_correct_rate,flip_to_wrong_rate,net_gain,mcnemar_exact_p,method,stratification
none,653,0.655436447166922,0.8101071975497703,15.46707503828484,131,30,0.2006125574272588,0.045941807044410414,101,2.9809838675814455e-16,E1,dominant_contradicted_type
object_existence,301,0.6046511627906976,0.7840531561461794,17.94019933554818,72,18,0.23920265780730898,0.059800664451827246,54,8.070744444115692e-09,E1,dominant_contradicted_type
spatial,35,0.5428571428571428,0.7428571428571429,20.000000000000007,11,4,0.3142857142857143,0.11428571428571428,7,0.11846923828125,E1,dominant_contradicted_type
attribute,30,0.8333333333333334,0.9666666666666667,13.33333333333333,5,1,0.16666666666666666,0.03333333333333333,4,0.21875,E1,dominant_contradicted_type
counting,5,0.8,1.0,19.999999999999996,1,0,0.2,0.0,1,1.0,E1,dominant_contradicted_type
none,653,0.6416539050535988,0.7090352220520674,6.738131699846861,61,17,0.09341500765696784,0.026033690658499236,44,5.663739625418237e-07,E12b,dominant_contradicted_type
object_existence,301,0.574750830564784,0.5913621262458472,1.661129568106312,26,21,0.08637873754152824,0.06976744186046512,5,0.5600646295802107,E12b,dominant_contradicted_type
spatial,35,0.6,0.6285714285714286,2.857142857142858,4,3,0.11428571428571428,0.08571428571428572,1,1.0,E12b,dominant_contradicted_type
attribute,30,0.8,0.7666666666666667,-3.3333333333333326,1,2,0.03333333333333333,0.06666666666666667,-1,1.0,E12b,dominant_contradicted_type
counting,5,0.8,0.8,0.0,0,0,0.0,0.0,0,1.0,E12b,dominant_contradicted_type
