method,run_label,bin_id,n,mean_score,corrected_error_rate,corrected_accuracy,baseline_accuracy,intervened_rate,fallback_rate,delta_accuracy_pp,abs_calibration_gap,bin_left,bin_right,bin_label
E1,seed123,0,404,0.0523820132013201,0.14603960396039603,0.8539603960396039,0.6410891089108911,1.0,0.0,21.287128712871283,0.09365759075907593,0.0,0.1,"[0.0, 0.1)"
E1,seed123,1,529,0.15905842110000898,0.22306238185255198,0.776937618147448,0.6408317580340265,1.0,0.0,13.610586011342152,0.064003960752543,0.1,0.2,"[0.1, 0.2)"
E1,seed123,2,679,0.24750143768847743,0.22385861561119294,0.7761413843888071,0.6435935198821797,1.0,0.0,13.254786450662737,0.023642822077284492,0.2,0.3,"[0.2, 0.3)"
E1,seed123,3,275,0.34507324675324674,0.2,0.8,0.6,1.0,0.0,20.000000000000007,0.14507324675324673,0.3,0.4,"[0.3, 0.4)"
E1,seed123,4,79,0.4320759493670886,0.189873417721519,0.810126582278481,0.6455696202531646,1.0,0.0,16.455696202531644,0.2422025316455696,0.4,0.5,"[0.4, 0.5)"
E1,seed123,5,32,0.520625,0.1875,0.8125,0.625,1.0,0.0,18.75,0.333125,0.5,0.6,"[0.5, 0.6)"
E1,seed123,6,2,0.61,0.0,1.0,0.0,1.0,0.0,100.0,0.61,0.6,0.7,"[0.6, 0.7)"
E1,seed42,0,404,0.0523820132013201,0.14603960396039603,0.8539603960396039,0.6410891089108911,1.0,0.0,21.287128712871283,0.09365759075907593,0.0,0.1,"[0.0, 0.1)"
E1,seed42,1,529,0.15905842110000898,0.22306238185255198,0.776937618147448,0.6408317580340265,1.0,0.0,13.610586011342152,0.064003960752543,0.1,0.2,"[0.1, 0.2)"
E1,seed42,2,679,0.24750143768847743,0.22385861561119294,0.7761413843888071,0.6435935198821797,1.0,0.0,13.254786450662737,0.023642822077284492,0.2,0.3,"[0.2, 0.3)"
E1,seed42,3,275,0.34507324675324674,0.2,0.8,0.6,1.0,0.0,20.000000000000007,0.14507324675324673,0.3,0.4,"[0.3, 0.4)"
E1,seed42,4,79,0.4320759493670886,0.189873417721519,0.810126582278481,0.6455696202531646,1.0,0.0,16.455696202531644,0.2422025316455696,0.4,0.5,"[0.4, 0.5)"
